"","Date","Time","Location","Operator","Flight #","Route","Type","Registration","Aboard","Fatalities","Ground","Summary","Manufacturer","SurvivorToFatalitiesRatio","DeathRatePercentage"
"1","09/17/1908","17:18","Virginia","Military - U.S. Army","Unknown Flight #","Demonstration","Wright Flyer III","Unknown Registration",2.00,1.00,0.00,"During a demonstration flight, a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet, killing Lt. Thomas E. Selfridge who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribs, pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later.","Wright",0.50,50
"2","07/12/1912","06:30","New Jersey","Military - U.S. Navy","Unknown Flight #","Test flight","Dirigible","Unknown Registration",5.00,5.00,0.00,"First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight.","Dirigible",1.00,100
"3","08/06/1913","Unknown time","Canada","Private","-","Unknown Route","Curtiss seaplane","Unknown Registration",1.00,1.00,0.00,"The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed.","Curtiss",1.00,100
"4","09/09/1913","18:30","Over the North Sea","Military - German Navy","Unknown Flight #","Unknown Route","Zeppelin L-1 (airship)","Unknown Registration",20.00,14.00,0.00,"The airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of Helgoland Island into the sea. The ship broke in two and the control car immediately sank drowning its occupants.","Zeppelin",0.70,70
"5","10/17/1913","10:30","Germany","Military - German Navy","Unknown Flight #","Unknown Route","Zeppelin L-2 (airship)","Unknown Registration",30.00,30.00,0.00,"Hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3,000 ft..","Zeppelin",1.00,100
"6","03/05/1915","01:00","Belgium","Military - German Navy","Unknown Flight #","Unknown Route","Zeppelin L-8 (airship)","Unknown Registration",41.00,21.00,0.00,"Crashed into trees while attempting to land after being shot down by British and French aircraft.","Zeppelin",0.51,51
"7","09/03/1915","15:20","Germany","Military - German Navy","Unknown Flight #","Unknown Route","Zeppelin L-10 (airship)","Unknown Registration",19.00,19.00,0.00,"Exploded and burned near Neuwerk Island,  when hydrogen gas, being vented, was ignited by lightning.","Zeppelin",1.00,100
"8","07/28/1916","Unknown time","Bulgeria","Military - German Army","Unknown Flight #","Unknown Route","Schutte-Lanz S-L-10 (airship)","Unknown Registration",20.00,20.00,0.00,"Crashed near the Black Sea, cause unknown.","Schutte",1.00,100
"9","09/24/1916","01:00","England","Military - German Navy","Unknown Flight #","Unknown Route","Zeppelin L-32 (airship)","Unknown Registration",22.00,22.00,0.00,"Shot down by British aircraft crashing in flames.","Zeppelin",1.00,100
"10","10/01/1916","23:45","England","Military - German Navy","Unknown Flight #","Unknown Route","Zeppelin L-31 (airship)","Unknown Registration",19.00,19.00,0.00,"Shot down in flames by the British 39th Home Defence Squadron.","Zeppelin",1.00,100
"11","11/21/1916","Unknown time","Germany","Military - German Army","Unknown Flight #","Unknown Route","Super Zeppelin (airship)","Unknown Registration",28.00,27.00,0.00,"Crashed in a storm.","Super",0.96,96
"12","11/28/1916","23:45","England","Military - German Navy","Unknown Flight #","Unknown Route","Zeppelin L-34 (airship)","Unknown Registration",20.00,20.00,0.00,"Shot down by British anti-aircraft fire and aircraft and crashed into the North Sea.","Zeppelin",1.00,100
"13","03/04/1917","Unknown time","Belgium","Military - German Army","Unknown Flight #","Unknown Route","Airship","Unknown Registration",20.00,20.00,0.00,"Caught fire and crashed.","Airship",1.00,100
"14","03/30/1917","Unknown time","Off Northern Germany","Military - German Navy","Unknown Flight #","Unknown Route","Schutte-Lanz S-L-9 (airship)","Unknown Registration",23.00,23.00,0.00,"Struck by lightning and crashed into the BaltiSea.","Schutte",1.00,100
"15","05/14/1917","05:15","North Sea","Military - German Navy","Unknown Flight #","Unknown Route","Zeppelin L-22 (airship)","Unknown Registration",21.00,21.00,0.00,"Crashed into the sea from an altitude of 3,000 ft. after being hit by British aircraft fire.","Zeppelin",1.00,100
"16","06/14/1917","08:45","North Sea","Military - German Navy","Unknown Flight #","Unknown Route","Zeppelin L-43 (airship)","Unknown Registration",24.00,24.00,0.00,"Shot down by British aircraft.","Zeppelin",1.00,100
"17","08/21/1917","07:00","Off western Denmark","Military - German Navy","Unknown Flight #","Unknown Route","Zeppelin L-23 (airship)","Unknown Registration",18.00,18.00,0.00,"Shot down by British aircraft.","Zeppelin",1.00,100
"18","10/20/1917","07:45","France","Military - German Navy","Unknown Flight #","Unknown Route","Zeppelin L-44 (airship)","Unknown Registration",18.00,18.00,0.00,"Shot down by French anti-aircraft fire.","Zeppelin",1.00,100
"19","04/07/1918","21:30","Over the Mediterranean","Military - German Navy","Unknown Flight #","Unknown Route","Zeppelin L-59 (airship)","Unknown Registration",23.00,23.00,0.00,"Exploded and crashed into the sea off the southern coast of Italy.","Zeppelin",1.00,100
"20","05/10/1918","Unknown time","Germany","Military - German Navy","Unknown Flight #","Unknown Route","Zeppelin L-70 (airship)","Unknown Registration",22.00,22.00,0.00,"Shot down by British aircraft crashing from a height of 17,000 ft.","Zeppelin",1.00,100
"21","08/11/1918","10:00","North Sea","Military - German Navy","Unknown Flight #","Unknown Route","Zeppelin L-53 (airship)","Unknown Registration",19.00,19.00,0.00,"Shot down by british aircraft.","Zeppelin",1.00,100
"22","12/16/1918","Unknown time","New Jersey","US Aerial Mail Service","Unknown Flight #","Unknown Route","De Havilland DH-4","97",1.00,1.00,0.00,"No information on how the accident occured","De",1.00,100
"23","05/25/1919","Unknown time","Ohio","US Aerial Mail Service","Unknown Flight #","Unknown Route","De Havilland DH-4","61",1.00,1.00,0.00,"Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.","De",1.00,100
"24","07/19/1919","Unknown time","Pennsylvania","US Aerial Mail Service","Unknown Flight #","Unknown Route","De Havilland DH-4","82",1.00,1.00,0.00,"No information on how the accident occured","De",1.00,100
